name,description,dataElementsCount,dataElements,id
PLD SitRep,"The Daily Situation Report' collects data on:
the number of urgent operations cancelled, including those cancelled for the 2nd time or more, throughout the month
critical care capacity, including adult, pediatric and neonatal available and occupied critical care beds",30,"5974a525-5152-4f80-8fd4-7e2ff8c0d8d3, e1d7d6d5-cea4-445a-9534-283b8082f631, 60a2673c-10af-46e0-bfa0-12885bf2dfd1, b5541a3a-69ad-47cf-9015-465d17f316f1, 3ac0e9df-7978-4b3d-b5a5-d3f8a05231a5, 9ef0a92d-1262-4782-acae-7603556f0c8a, 8004a253-69f8-4470-911e-c2aa9ea67a80, ddfa9487-5670-4edf-b800-5c13bbc4f15d, 02812c8e-4715-4e5c-b60d-ee8eaa142001, 1c4052e8-01d5-4d9a-9e42-2bb55964d8a0, 9a2f9d44-2810-4127-8fda-d0705ec2cf52, 412d9667-73d1-4b67-91af-f11b75c8e295, 5c02c143-233d-4ca7-9c45-7102d9dad06a, 9d743ba3-aa5a-43f3-ae34-9cab291d434d, fa930951-b380-4f14-aef9-f63b401263c8, 000f512e-7a7b-4b9a-9771-f5b7d5442a7c, 8f451917-b12f-4904-bacc-df8394194049, 3c047164-eb29-4bda-980f-08ef88b20418, 83c90032-75e6-4e25-94f5-ced2c1824e98, 600cb3e3-368d-4315-9c3b-cb6409785195, 0385a3d1-90b9-4984-bb69-5440bc750cb0, 31df975f-cc38-48fb-8e91-b48a9bfe86bf, 1a21b313-2f58-45e0-bd51-c6fabff15a85, 5776d196-ef10-4513-9a4c-c218d511db60, cb213b67-43f2-48bc-a953-b3e842520c2b, a92aa2df-0beb-4697-90bf-a6f2b318942c, 71bfa95f-22a9-4890-b950-9796b934ce3e, 8551a188-f918-43f8-9eb5-4b68e5269c13, e2b493f2-d258-4317-93db-ffec8b7795d3, d47a088e-8390-4742-8d7c-8f42becb5e03",d48f1766-2b52-4c85-87dd-7d87b9c4135a
BSW_INVITATIONS,"Contains details of all invitations for a bowel screening test and the type of invitation. Data available from the end of October 2008 onwards. NOTE1 - Evidence does not support population screening for those aged over 74. Bowel Screening Wales does not facilitate for individuals to opt into the programme beyond the age of 74 years. Once the programme has fully optimised NHS hope to work with Welsh Government to allow for opt-ins. All men and women aged 60 to 74 who are registered with a GP in England and Wales are automatically sent a bowel cancer screening kit every 2 years. NOTE2 - In Wales, there is an improvement plan to offer screening to those aged 50- 59 by April 2023 and NHS have developed a plan to achieve this in stages.",8,"13e58f93-2c1e-4f46-8f3f-d2c681288653, fcf040de-67d8-45f0-b5f4-8b7ba3717b91, 822c064e-0c4b-4a48-8858-cdc3a52510ad, 6d9baf8e-1ced-49c0-986b-b9f9363dd3df, 8ba77956-fcbd-43c2-90d3-7212e0c32559, 3aa9cb7a-e0df-4fc7-97d7-0f0c7fdeef9e, 7014217d-9ee0-405a-b382-d236beb67c54, 33f6039b-509c-4a79-a483-dc046d7bbae2",0e2b044a-6971-4a7e-84b2-c8199626ddeb
CAN,Denotes the type of bowel cancer detected during assessment[s]. Data available from the end of October 2008 onwards.,6,"977c46d8-2670-41ef-9ca1-9dd8db6949f7, e067463c-3034-482d-bce3-f776cdefc718, 5388dbbb-f74e-48f9-bf4f-201f9f756976, dc061312-43e2-4e4f-abc9-9fa4d79bb979, 4176f01c-21b1-4d3c-aeda-a3131acb259d, c52e87e1-4953-4978-bd90-ff191ae83f59",506187e9-43c5-4476-8be4-0e66d0f05944
REF_SMEAR_RESULT,Description of smear test results and ranked severity of said results. Smear tests are performed after referral to a gynaecologist or for patients under the care of a gynaecologist or other relevant specialist. Results can be: inadequate; negative; borderline changes; mild/moderate/severe dyskaryosis; glandular neoplasia; or evidence no referral smear.,7,"c8219412-90c0-4ba6-b5da-8d7a97d9a6f8, d4bcdb15-adb6-411f-a410-e23e44815f57, babf78b9-7815-4480-be1b-78885ae99f17, a0e61834-2889-4c88-9272-99d26498665e, 8d6cdd50-eb08-4ad7-af20-e2fb2f3e3723, 4e668f92-2561-4f7e-81db-213fb64d6220, 3ae017e4-c3a8-4cd0-9b49-b99358423b26",c4408b53-161f-4866-8c28-947918174569
ACTION,"Contains details of what action [if any] or referral is recommended or performed based upon current bowel screening test result. This can range from scheduling further routine tests/smears, no action, or referral to a gynaecologist or other relevant specialist. Data available from the end of October 2008 onwards.",6,"284b8d02-7f72-4c72-9955-b5e0d71517cc, e81222a3-f40d-4078-a869-18e572d5ad2b, 32238582-ddc1-42af-ac17-dcf0b4402e78, 82082af3-faef-471b-9215-e6316f587265, 42a52b86-da5e-444e-bdd6-13cea842b277, 93242346-8788-4ab5-a1e0-4e2a3de7e19c",5e7f5e1d-957b-44cd-8681-6f4b247610ef
SCRN_ACT,Actions taken following the result of bowel screening test.,6,"4491d8df-4fbe-4b5f-b6af-309e154dff35, e4d0da5b-af44-46f7-85ca-737e2378e7d0, 4e6033e5-b405-4cda-ad7a-19a30f5a9195, 119847ce-c6e8-40ab-b261-7155973fa18d, 240fa254-e8da-47c3-a6a9-35a2853ae2d9, 83072a16-6a3a-4741-b431-770a9e827966",cf203949-5ca4-44eb-ab10-7a03700b2925
SCRS_REF,This is a reference table combining all other tables.,8,"7c124d7e-0454-44d0-8268-6e783b8cd86f, d2a259c8-acc2-4f77-93d4-c538dbeafe28, ec8ce459-bcbd-4078-8d8e-aceacb2f5c0a, fccac52e-46b3-4089-8242-caf985579264, b33ef21a-b4fb-42fa-808e-9008427abad8, 490dd027-b56b-44e5-8c3b-6654eae59830, fea2d9c9-913c-43ea-b8cc-eac4e521c104, 7b55b4b8-77e4-4f23-9a1f-fb7fc4611649",a3ea16d8-24f0-46a8-b1df-92a7ea5378ed
SOURCE,"This identifies the origin of referral/treatment, e.g. the kind of facility - NHS, clinic, or otherwise.",6,"9e342b94-05c9-4b41-89cb-793021916471, d6ab55d2-2791-4d6a-a346-dcdf4aee208f, ecc8bc66-ddf0-4a39-aac6-71bd3d7ff9a6, 44d8352c-5530-4fd2-83fe-cafe4201544b, 04616d1b-1ddd-40a4-93e3-2f38da094ccb, f7abb442-4b1a-4f88-b6db-1a7488373d67",fd005098-b447-4615-9ef7-478298ae42df
FUTURE_MGMT,"Denotes any recommendations, additional tests preformed, or recommended future actions for bowel cancer treatment.",6,"83fff4cf-e396-4058-a613-9c8c267b773f, b527dbca-ef68-4d6a-a0f8-236cbe3e8e10, 74d54ceb-d525-4ebb-b9d9-4fa10be6e9c3, 65931bee-ee39-4124-891f-87272ccd5d3f, 3c01bacc-8c6f-45df-956f-5ac3be1b0325, 4844e24e-2004-44a3-bb6e-55a6715bfb9a",8d84f545-2733-4f0c-9ee8-4b45daff6d01
APPT_TYPE,"Type of appointment scheduled, usually following a positive bowel screening test. Data available from the end of October 2008 onwards.",6,"4336f7a1-3643-4e42-a8d7-2b9e9a379975, 30b3d586-4096-4d59-a3ce-44c3646862f5, b94d2dd2-3a39-4fde-afb9-74722e3d558d, c49d65e5-0bbf-4c81-a990-8502e8dcf55e, 2915a900-577c-4fa4-ad1e-6fb95fd9299b, e7a7bbae-6803-4aa0-9e19-6e7236fd6440",4029b826-c5aa-4ab8-901d-7aa175b7fe93
SURG,The method of surgery performed [if any].,6,"fb4fece9-4575-4be5-9e19-f569ec6be412, e41b51ef-88ec-4181-9864-4b8524d0be25, d5c455b1-9148-416d-ad11-c88e8ba86415, 6ea5d929-30c0-4906-830d-174ff9332676, fb1b9e9c-bc92-43a9-81fb-cd6c3c06777a, faec6028-0b72-4738-a77d-91f6e444c4ac",c92f203e-7988-4611-8461-f7ea5dcc8c49
DF_SHIELDED_PATIENTS,Information about shielded patients,10,"a537b3c9-c7e4-4512-ac5f-7eaf2dd3ebf2, 86e08f55-a026-46a2-9289-7267be6f288f, e28d1382-1e4f-4e9a-a74e-c9672570a3f5, 73a859b2-423d-4663-a506-4064f0cf21ab, cdd5a7d3-c680-4e40-90d4-b21d2d10514f, 6751812d-0a9c-4260-9f7a-b457d596b3bd, d0c13640-d12f-47e9-a334-cf55bca4ff3d, c4d22467-b3fa-4563-8fbc-53e97122ff98, 5af87b5f-ff59-46dd-a4a7-293b030f199c, d6d34480-2b0e-4e28-b23f-ea32d447a0f1",d916daad-38d7-4caa-9ed1-4a1c9bc0df2e
fact_relationship,"meta-attributes of various records in other tables, such as 'estimated' qualifiers on certain measurements",5,"28d7dcab-67d7-4e68-bcf8-fdc6d43e74a9, 0174ade1-0f5a-43a4-a3b4-75f824b93b92, 781c3aea-9e55-4ed9-9208-4a9218a59262, f1100762-e4e7-4867-9090-3492dd9dd411, b9547589-c668-4b04-9d8a-a2c0b3243de3",aa2692a5-20ae-49f9-91de-712663bc4368
measurement,timings and results of measurements taken from patients during their visit_occurrence,10,"0da8bbf3-b50d-4cd7-937b-8496a4bea2a2, cce0506a-d608-4fa5-a0d1-93796c035e1d, da66faf9-b541-461f-a566-d91320f4803f, bb7e291a-d7ac-411a-9496-7af4fadbcac2, e1b426fa-2a05-45d5-a4a5-61d35e31e573, 0b77666e-b1c0-4e4f-ac91-524816d7d5ed, 6738a8f7-5f5c-482e-bc8a-d1f260078a4c, bef3aed8-617b-4706-aee4-b6e8cccea63b, 27df6fc1-e3e4-466f-9eba-7a8b6de924b6, 18603cf9-8881-44b1-baf3-45447e242d0a",7742b66d-3562-430c-9549-0e6a8bd0064b
visit_occurrence,"timings and classifications of admissions to the hospital,
 including to the A&E department, inpatients and day cases",7,"b451caf4-f27b-4076-917a-b4142e357248, d2ecf6f9-e4a3-40fb-99d8-e964643f22cc, d2b7ba2e-35f7-4524-bba2-9ebe161f58cf, 233872c7-d0cc-4ac9-be20-ad3935aba2d8, 37132b2b-6057-4cab-9066-4999c513c386, 9ae0e4c7-dd50-4ab7-9a6e-2e82346ea568, 13ec51ed-3fad-4832-a0b7-02463c26d1ab",2f31f850-8199-41be-8484-762c678b2bca
care_site,"ward classifications based on primary usage 
(used here instead of ward names), such as 'ITU' or 'Inpatient Area'",2,"4c27d84a-9a55-4ea9-8b63-a06c5e0225a3, c18db9fb-7a29-4cd5-831d-fd587c9c2f0e",982f6d30-365b-4ecb-a536-340ccfa933d6
death,"times of death of patients, where applicable",3,"23817aa4-2de7-417b-b4cb-817af1904f27, e71d105c-9d67-42cf-9ce1-48b11e36be59, c1713c25-db2b-4524-97aa-80f37dd9d6a8",1ff27533-7b8e-4f46-808c-e9ab9c10e42d
person,demographic details of patients,4,"6e5e59da-6f0a-4557-a678-bbc87769d98b, 58a00cda-dbee-4d59-abbd-7edf43109e03, df4a9de1-0322-4403-a5b9-cd17a22d8da6, 0e74c2de-d8f2-4aa8-b9b6-f7b5e22bad94",f6575348-f9e5-4700-ad2e-d7a842059156
visit_detail,timings and details of ward visits during a visit_occurrence record,8,"f264b499-230a-496a-9856-1fa5b7121ac3, 22dd2858-7538-4adb-ad49-a517a0b0b53d, 08f0a7e0-897d-44f1-a022-de4550d9f8ce, 5827b514-ef3f-40a3-a7ed-fdc36a61cfff, 61de21e1-a9dc-402f-a77c-f503ac3311ee, 5b13726e-a4a7-417a-9959-e5fa727059bf, 073473e4-6a2f-418b-8f2c-f03abf45ac6b, 9d506d6d-a832-425e-a035-0cdb26a47121",af613ecc-5463-4011-b6e1-47a38d00e0e9
concept,list and definitions of concepts used throughout OMOP,10,"81f369f7-001f-4079-9c6c-95cf019d9f45, 32fd0102-b03b-4ec1-ae5b-57c882fb7e2c, ca59abee-6c92-402c-a893-4f932990a26f, b2428587-bb5d-4783-86b5-5b7ffaddb5a6, cd28ba58-b63d-4ba2-9b9e-85c4263cd8e7, 0df716f6-9e7a-40bc-9912-c4b966ba4812, acc78f90-f986-4a38-8c8e-edb2fb43c596, 97045b17-58e8-4ee2-a13c-90d0cf559153, 9d081475-47b2-4a67-9a69-75287ede74e5, c91a5436-4906-4fd4-ab56-cd3f401edf68",74ee9a14-e179-4043-b2a8-09d1819ceef2
measurement,Timings and results of measurements taken from patients during their visit_occurrence,22,"ae411123-f442-4193-892c-2bdac53b5f5a, 2dcb892d-2ac5-4240-9b8a-a1fbe93d7227, 407d0360-34e1-465c-a0d3-0f01987193cc, 2b26d167-0a2b-46c5-96c5-2fc58a9966a8, e66c0f2a-d28f-4556-bd53-964535e8645f, b7e93863-6e3e-4cb8-8f0a-fcf6947cf511, 44f35583-79cc-428c-9825-a6bfb7ea3fdf, 330715cb-1499-4f92-bbb5-933c8953d971, 4b494973-2999-40bc-9cbb-c8bca58a63bf, 7d35b337-fed8-4d8c-8e03-e2d21e24a2e1, d47c81a9-6774-4c9c-986c-b9670459deaa, 24b9296d-ef9b-4aa6-b044-aec1e4b70dd5, 9d8ff075-b789-47db-9cf4-7fb56312e60f, f61c9c13-5377-486a-9ec0-3c3fe96b2b0b, ef7b8812-f88a-49a2-ba33-418d5f0f8584, 4f0ec04a-6848-4405-ae93-97cea0bd8ca5, e1ef0560-96d6-431c-9947-15a8a3f05690, fa640c74-aedf-43bc-9277-da09fdd37dc9, 602c8686-f885-40b8-b76c-2191ac92a2f6, 0d1ad3c8-feda-48a7-b0a3-fa9ae0baf827, 503ba602-6478-4b97-b47b-13ccc41ee00c, 94deea62-e201-4156-b144-2c8f110f92a8",c336d57a-b612-429a-87e5-f6b10d2abe8a
visit_occurrence,"Timings and classifications of admissions to the hospital,including to the A&E department, inpatients and day cases",18,"2c024242-47f1-41f0-8670-ffc4574fec21, 7a37a953-6a39-4576-8eca-2ff0e12d261a, 81049a1f-e666-407f-aebc-ca1196973514, 8943b2e8-c127-462c-9c22-a52047c917e0, 061cefb3-c251-487f-82b1-b589dbf885c1, a6e155ef-f234-4af9-9dc2-04f7ba37f5e3, 0ca7bc37-b993-4a9c-bd65-9525511f883f, 02e95589-13e2-424e-a0ac-0a726b5cbe46, dc24d60b-8f48-4f74-916c-d4872267634d, 03a903e3-3f55-4712-8223-5009ffce9b1f, f63ff37c-b68e-41a3-8268-2302def3cb5a, 1c1775a3-4e14-4a21-a602-a638538b2cbf, 510c41ff-948a-4e59-b604-819e7468e03b, e009984c-004f-4dd7-87bb-af1809ab7aa6, e94e798f-02f6-44fd-8d30-14d000dc0e65, 03222e92-82a9-42e1-8f81-3fb5c2af87e0, 8245170b-1849-4dd7-a718-35b7ee6a24e6, adc399a4-2184-4932-835a-70022ef305c7",e0e32575-59fa-4da3-907b-a7bc815e67c4
